Top 200 'Chameleon' Words Analysis
==================================================

Chameleon words are those with the largest change in collocates
(measured by Jaccard distance between eras)

Rank  Word                 Jaccard Distance  
---------------------------------------------
1     উপস্থিত              1.000000          
2     তোলাতে               1.000000          
3     তাজ                  1.000000          
4     অধীন                 1.000000          
5     পাতলা                1.000000          
6     হাউসে                1.000000          
7     কুনজর                1.000000          
8     ঘটেছিলো              1.000000          
9     হারানোর              1.000000          
10    ভাঙেনি               1.000000          
11    জনমানবহীন            1.000000          
12    মরলো                 1.000000          
13    আলোচনা               1.000000          
14    মূর্খতা              1.000000          
15    অদল                  1.000000          
16    সৈনিক                1.000000          
17    নিশ্চিহ্ন            1.000000          
18    এইতো                 1.000000          
19    কম্পানি              1.000000          
20    রাষ্ট্রপতি           1.000000          
21    অস্বস্তিকর           1.000000          
22    কর্মে                1.000000          
23    উজান                 1.000000          
24    জইন্য                1.000000          
25    রাজত্বে              1.000000          
26    আকত                  1.000000          
27    প্রতিভাত             1.000000          
28    অমূল্য               1.000000          
29    অভিনেত               1.000000          
30    নেমেছি               1.000000          
31    দৌলত                 1.000000          
32    মৃত্যুদিনে           1.000000          
33    চিৎকারে              1.000000          
34    নিউ                  1.000000          
35    রক্তবমি              1.000000          
36    পিণ্ডি               1.000000          
37    কীই                  1.000000          
38    বিভাগীয়             1.000000          
39    আবদুল                1.000000          
40    ত্রু                 1.000000          
41    সেবক                 1.000000          
42    বিবৃত                1.000000          
43    ভাইই                 1.000000          
44    প্রার্থনার           1.000000          
45    হাসাহাসি             1.000000          
46    নিক্তি               1.000000          
47    ছেড়েছেন             1.000000          
48    চেয়েছিল             1.000000          
49    ভুক্তভোগী            1.000000          
50    যশস্বী               1.000000          
51    বাধনে                1.000000          
52    একদিন                1.000000          
53    সাতসকালে             1.000000          
54    বিদায়               1.000000          
55    মল্লযুদ্ধ            1.000000          
56    আগা                  1.000000          
57    টুকিটাকি             1.000000          
58    সলিসিটর              1.000000          
59    টেরিটরির             1.000000          
60    অপরিহার্য            1.000000          
61    বিরলে                1.000000          
62    মিডল                 1.000000          
63    ডাকত                 1.000000          
64    আটলান্টিক            1.000000          
65    জানালো               1.000000          
66    দুষ্টু               1.000000          
67    মস্তিষ্ক             1.000000          
68    নাথ                  1.000000          
69    মুখর                 1.000000          
70    সাকুর                1.000000          
71    বাঙলা                1.000000          
72    বেদি                 1.000000          
73    ফু                   1.000000          
74    হৈচৈ                 1.000000          
75    জেফ                  1.000000          
76    খুলেছেন              1.000000          
77    ব্যাঘাত              1.000000          
78    কাউন্সেল             1.000000          
79    মোহনপুর              1.000000          
80    দেহরক্ষী             1.000000          
81    ডুবল                 1.000000          
82    প্রান্তবর্তী         1.000000          
83    সাধনা                1.000000          
84    রাজন                 1.000000          
85    টাচ                  1.000000          
86    শৈবাল                1.000000          
87    সবগুলোতে             1.000000          
88    পতনে                 1.000000          
89    ভাষণে                1.000000          
90    ফাত                  1.000000          
91    নেটিভ                1.000000          
92    তালুকদার             1.000000          
93    পুস্তক               1.000000          
94    সাবলীল               1.000000          
95    শখে                  1.000000          
96    খেলেছিল              1.000000          
97    অন্ততপক্ষে           1.000000          
98    আন্ত                 1.000000          
99    রণজিৎ                1.000000          
100   আমন্ত্রণে            1.000000          
101   শেখের                1.000000          
102   কিউট                 1.000000          
103   দাদু                 1.000000          
104   ক্ষুদ্র              1.000000          
105   আলি                  1.000000          
106   থিসিস                1.000000          
107   চুক্তির              1.000000          
108   শান্তর               1.000000          
109   মাউথ                 1.000000          
110   তদানীন্তন            1.000000          
111   বাড়া                1.000000          
112   আগেভাগে              1.000000          
113   হাসে                 1.000000          
114   তারপরে               1.000000          
115   অভিভাবকরা            1.000000          
116   মোমবাতির             1.000000          
117   অনূদিত               1.000000          
118   অচেতন                1.000000          
119   কথা৷                 1.000000          
120   কাল                  1.000000          
121   কাজকর্ম              1.000000          
122   চতুর্দিক             1.000000          
123   ডার্ক                1.000000          
124   ফি                   1.000000          
125   গেজেট                1.000000          
126   দমে                  1.000000          
127   সন্দেহের             1.000000          
128   অভিশাপ               1.000000          
129   আশ্রয়               1.000000          
130   সাহাব                1.000000          
131   সরকারে               1.000000          
132   লঘু                  1.000000          
133   জীবিকা               1.000000          
134   আটকানো               1.000000          
135   উলটপালট              1.000000          
136   কাস্                 1.000000          
137   সাদর                 1.000000          
138   সুরক্ষ               1.000000          
139   ভজা                  1.000000          
140   বিষাদ                1.000000          
141   লোকসানে              1.000000          
142   যোহর                 1.000000          
143   অস্তিত্বহীন          1.000000          
144   উদারতার              1.000000          
145   লেখাজোখ              1.000000          
146   দ্বিগুণ              1.000000          
147   বুনে                 1.000000          
148   মথুর                 1.000000          
149   তুলেছেন              1.000000          
150   অনল                  1.000000          
151   আশ                   1.000000          
152   জমিজমা               1.000000          
153   বশে                  1.000000          
154   তদবির                1.000000          
155   নদীপথে               1.000000          
156   উপত্যকায়            1.000000          
157   সমাহিত               1.000000          
158   দুদিক                1.000000          
159   মিশা                 1.000000          
160   আয়োজনে              1.000000          
161   টিত                  1.000000          
162   ডেস্                 1.000000          
163   নৃত্যে               1.000000          
164   ঋজুতা                1.000000          
165   বসেনি                1.000000          
166   আপত্তিকর             1.000000          
167   বিবাট                1.000000          
168   সুরভী                1.000000          
169   পারস্পরিক            1.000000          
170   সাঙ্গ                1.000000          
171   পিটুনি               1.000000          
172   মেছ                  1.000000          
173   চিন্তিত              1.000000          
174   নিস্পন্দ             1.000000          
175   বসতি                 1.000000          
176   গভীরভাবে             1.000000          
177   করাচ্ছি              1.000000          
178   পত্রে                1.000000          
179   করছি৷                1.000000          
180   মামামামী             1.000000          
181   উৎপা                 1.000000          
182   এঞ্জেল               1.000000          
183   ফ্রি                 1.000000          
184   ব্রিগেডিয়           1.000000          
185   চোরে                 1.000000          
186   প্লাসে               1.000000          
187   বাঁচলে               1.000000          
188   সিলিকন               1.000000          
189   মজুরি                1.000000          
190   প্রতিচ্ছবি           1.000000          
191   রিং                  1.000000          
192   ঋতু                  1.000000          
193   শনিব                 1.000000          
194   শিষ্য                1.000000          
195   গালাগা               1.000000          
196   রক্তমাখা             1.000000          
197   বাগদ                 1.000000          
198   কনকনে                1.000000          
199   শাখা                 1.000000          
200   কর্নেল               1.000000          


Full Ranked List (12019 words):
========================================
   1. উপস্থিত                   1.00000000
   2. তোলাতে                    1.00000000
   3. তাজ                       1.00000000
   4. অধীন                      1.00000000
   5. পাতলা                     1.00000000
   6. হাউসে                     1.00000000
   7. কুনজর                     1.00000000
   8. ঘটেছিলো                   1.00000000
   9. হারানোর                   1.00000000
  10. ভাঙেনি                    1.00000000
  11. জনমানবহীন                 1.00000000
  12. মরলো                      1.00000000
  13. আলোচনা                    1.00000000
  14. মূর্খতা                   1.00000000
  15. অদল                       1.00000000
  16. সৈনিক                     1.00000000
  17. নিশ্চিহ্ন                 1.00000000
  18. এইতো                      1.00000000
  19. কম্পানি                   1.00000000
  20. রাষ্ট্রপতি                1.00000000
  21. অস্বস্তিকর                1.00000000
  22. কর্মে                     1.00000000
  23. উজান                      1.00000000
  24. জইন্য                     1.00000000
  25. রাজত্বে                   1.00000000
  26. আকত                       1.00000000
  27. প্রতিভাত                  1.00000000
  28. অমূল্য                    1.00000000
  29. অভিনেত                    1.00000000
  30. নেমেছি                    1.00000000
  31. দৌলত                      1.00000000
  32. মৃত্যুদিনে                1.00000000
  33. চিৎকারে                   1.00000000
  34. নিউ                       1.00000000
  35. রক্তবমি                   1.00000000
  36. পিণ্ডি                    1.00000000
  37. কীই                       1.00000000
  38. বিভাগীয়                  1.00000000
  39. আবদুল                     1.00000000
  40. ত্রু                      1.00000000
  41. সেবক                      1.00000000
  42. বিবৃত                     1.00000000
  43. ভাইই                      1.00000000
  44. প্রার্থনার                1.00000000
  45. হাসাহাসি                  1.00000000
  46. নিক্তি                    1.00000000
  47. ছেড়েছেন                  1.00000000
  48. চেয়েছিল                  1.00000000
  49. ভুক্তভোগী                 1.00000000
  50. যশস্বী                    1.00000000
  51. বাধনে                     1.00000000
  52. একদিন                     1.00000000
  53. সাতসকালে                  1.00000000
  54. বিদায়                    1.00000000
  55. মল্লযুদ্ধ                 1.00000000
  56. আগা                       1.00000000
  57. টুকিটাকি                  1.00000000
  58. সলিসিটর                   1.00000000
  59. টেরিটরির                  1.00000000
  60. অপরিহার্য                 1.00000000
  61. বিরলে                     1.00000000
  62. মিডল                      1.00000000
  63. ডাকত                      1.00000000
  64. আটলান্টিক                 1.00000000
  65. জানালো                    1.00000000
  66. দুষ্টু                    1.00000000
  67. মস্তিষ্ক                  1.00000000
  68. নাথ                       1.00000000
  69. মুখর                      1.00000000
  70. সাকুর                     1.00000000
  71. বাঙলা                     1.00000000
  72. বেদি                      1.00000000
  73. ফু                        1.00000000
  74. হৈচৈ                      1.00000000
  75. জেফ                       1.00000000
  76. খুলেছেন                   1.00000000
  77. ব্যাঘাত                   1.00000000
  78. কাউন্সেল                  1.00000000
  79. মোহনপুর                   1.00000000
  80. দেহরক্ষী                  1.00000000
  81. ডুবল                      1.00000000
  82. প্রান্তবর্তী              1.00000000
  83. সাধনা                     1.00000000
  84. রাজন                      1.00000000
  85. টাচ                       1.00000000
  86. শৈবাল                     1.00000000
  87. সবগুলোতে                  1.00000000
  88. পতনে                      1.00000000
  89. ভাষণে                     1.00000000
  90. ফাত                       1.00000000
  91. নেটিভ                     1.00000000
  92. তালুকদার                  1.00000000
  93. পুস্তক                    1.00000000
  94. সাবলীল                    1.00000000
  95. শখে                       1.00000000
  96. খেলেছিল                   1.00000000
  97. অন্ততপক্ষে                1.00000000
  98. আন্ত                      1.00000000
  99. রণজিৎ                     1.00000000
 100. আমন্ত্রণে                 1.00000000
 101. শেখের                     1.00000000
 102. কিউট                      1.00000000
 103. দাদু                      1.00000000
 104. ক্ষুদ্র                   1.00000000
 105. আলি                       1.00000000
 106. থিসিস                     1.00000000
 107. চুক্তির                   1.00000000
 108. শান্তর                    1.00000000
 109. মাউথ                      1.00000000
 110. তদানীন্তন                 1.00000000
 111. বাড়া                     1.00000000
 112. আগেভাগে                   1.00000000
 113. হাসে                      1.00000000
 114. তারপরে                    1.00000000
 115. অভিভাবকরা                 1.00000000
 116. মোমবাতির                  1.00000000
 117. অনূদিত                    1.00000000
 118. অচেতন                     1.00000000
 119. কথা৷                      1.00000000
 120. কাল                       1.00000000
 121. কাজকর্ম                   1.00000000
 122. চতুর্দিক                  1.00000000
 123. ডার্ক                     1.00000000
 124. ফি                        1.00000000
 125. গেজেট                     1.00000000
 126. দমে                       1.00000000
 127. সন্দেহের                  1.00000000
 128. অভিশাপ                    1.00000000
 129. আশ্রয়                    1.00000000
 130. সাহাব                     1.00000000
 131. সরকারে                    1.00000000
 132. লঘু                       1.00000000
 133. জীবিকা                    1.00000000
 134. আটকানো                    1.00000000
 135. উলটপালট                   1.00000000
 136. কাস্                      1.00000000
 137. সাদর                      1.00000000
 138. সুরক্ষ                    1.00000000
 139. ভজা                       1.00000000
 140. বিষাদ                     1.00000000
 141. লোকসানে                   1.00000000
 142. যোহর                      1.00000000
 143. অস্তিত্বহীন               1.00000000
 144. উদারতার                   1.00000000
 145. লেখাজোখ                   1.00000000
 146. দ্বিগুণ                   1.00000000
 147. বুনে                      1.00000000
 148. মথুর                      1.00000000
 149. তুলেছেন                   1.00000000
 150. অনল                       1.00000000
 151. আশ                        1.00000000
 152. জমিজমা                    1.00000000
 153. বশে                       1.00000000
 154. তদবির                     1.00000000
 155. নদীপথে                    1.00000000
 156. উপত্যকায়                 1.00000000
 157. সমাহিত                    1.00000000
 158. দুদিক                     1.00000000
 159. মিশা                      1.00000000
 160. আয়োজনে                   1.00000000
 161. টিত                       1.00000000
 162. ডেস্                      1.00000000
 163. নৃত্যে                    1.00000000
 164. ঋজুতা                     1.00000000
 165. বসেনি                     1.00000000
 166. আপত্তিকর                  1.00000000
 167. বিবাট                     1.00000000
 168. সুরভী                     1.00000000
 169. পারস্পরিক                 1.00000000
 170. সাঙ্গ                     1.00000000
 171. পিটুনি                    1.00000000
 172. মেছ                       1.00000000
 173. চিন্তিত                   1.00000000
 174. নিস্পন্দ                  1.00000000
 175. বসতি                      1.00000000
 176. গভীরভাবে                  1.00000000
 177. করাচ্ছি                   1.00000000
 178. পত্রে                     1.00000000
 179. করছি৷                     1.00000000
 180. মামামামী                  1.00000000
 181. উৎপা                      1.00000000
 182. এঞ্জেল                    1.00000000
 183. ফ্রি                      1.00000000
 184. ব্রিগেডিয়                1.00000000
 185. চোরে                      1.00000000
 186. প্লাসে                    1.00000000
 187. বাঁচলে                    1.00000000
 188. সিলিকন                    1.00000000
 189. মজুরি                     1.00000000
 190. প্রতিচ্ছবি                1.00000000
 191. রিং                       1.00000000
 192. ঋতু                       1.00000000
 193. শনিব                      1.00000000
 194. শিষ্য                     1.00000000
 195. গালাগা                    1.00000000
 196. রক্তমাখা                  1.00000000
 197. বাগদ                      1.00000000
 198. কনকনে                     1.00000000
 199. শাখা                      1.00000000
 200. কর্নেল                    1.00000000
 201. সেটুকু                    1.00000000
 202. ছিটা                      1.00000000
 203. অভিমুখে                   1.00000000
 204. বাশি                      1.00000000
