Top 200 'Spiker' Words Analysis
==================================================

Rank  Word                 Spiker Score   
----------------------------------------
1     পড়ুন                 3697.247938    
2     জাতীয়                2054.959675    
3     চেয়ারম্যান           1677.077423    
4     স্থানীয়              1597.902094    
5     ইউনিয়ন               1250.010497    
6     শুক্রব               1197.226944    
7     সাবেক                1082.062829    
8     উদ্দিন               1062.868810    
9     থানায়                976.495724     
10    বিএনপি               953.702826     
11    মন্ত্রণালয়           929.710302     
12    আসামি                876.926750     
13    উন্নয়ন               820.544318     
14    শতাংশ                783.355906     
15    বঙ্গবন্ধু            744.967868     
16    নির্বাহী             743.768242     
17    করোনা                716.176839     
18    হাসিনা               690.984689     
19    দায়িত্ব              682.587306     
20    ম্যাচে               671.790670     
21    দলীয়                 668.191791     
22    কেন্দ্রীয়            650.197398     
23    প্রশাসন              620.206744     
24    জানুয়ারি             587.816836     
25    অনুযায়ী              586.617210     
26    ট্রাম্প              585.417584     
27    মনোনয়ন               585.417584     
28    কার্যালয়             581.818705     
29    ঘটনাস্থলে            578.219827     
30    ব্যবসায়ী             577.020201     
31    ভাইরাস               568.622817     
32    আয়োজন                545.829919     
33    সভায়                 538.632162     
34    বিদ্যালয়             527.835526     
35    ভারতীয়               524.236648     
36    মুক্তিযোদ্ধা         524.236648     
37    ছাত্রলীগ             514.639638     
38    নেতাকর্মী            509.841134     
39    রাজশাহী              508.641507     
40    ফেব্রুয়ারি           500.244124     
41    এমপি                 477.451226     
42    মনোনয়নপত্র           476.251600     
43    মামলায়               476.251600     
44    মোবাইল               466.654590     
45    অভিযোগে              465.454964     
46    শিক্ষার্থী           462.861522     
47    জড়িত                 455.857955     
48    অধিনায়ক              449.859824     
49    বাড়ির                449.859824     
50    নির্বাচনী            448.660197     
51    মেয়র                 445.061319     
52    গাড়ি                 445.061319     
53    সিরিজ                440.262814     
54    সম্মেলনে             427.066926     
55    বাংলাদেশি            423.468047     
56    রোহিঙ্গা             416.270290     
57    সৌদি                 413.871038     
58    বিশ্বকাপ             406.673281     
59    তৃতীয়                403.074402     
60    ট্রাক                403.074402     
61    নিয়ন্ত্রণ            392.277766     
62    গড়ে                  387.479261     
63    ঢাকায়                387.479261     
64    ইনচার্জ              379.081878     
65    ভাইস                 377.882252     
66    কয়েকজন               374.283373     
67    ভিডি                 373.083747     
68    ছড়িয়ে                362.287111     
69    আয়োজিত               361.087485     
70    কেন্দ্রে             359.887859     
71    পয়েন্ট               358.688233     
72    সিনিয়র               355.089354     
73    সন্ধ্যায়             355.089354     
74    উপজেলায়              351.490476     
75    পরিচয়                343.093092     
76    প্রতিমন্ত্রী         343.093092     
77    মহাসচিব              333.496083     
78    কর্মসূচি             327.497952     
79    বিষয়ক                325.098699     
80    প্রযুক্তি            320.300194     
81    অধিদপ্তর             319.100568     
82    প্রয়োজন              316.701316     
83    খুলনা                315.501690     
84    জায়গায়               314.302063     
85    হামলায়               313.102437     
86    পরিবহন               311.902811     
87    সভাপতিত্বে           309.503559     
88    পরীক্ষায়             309.503559     
89    নিয়োগ                307.104306     
90    সাকিব                307.104306     
91    বরিশাল               305.904680     
92    সৈয়দ                 304.705054     
93    গ্রেপ্ত              298.706923     
94    বাস্তবায়ন            295.108044     
95    ফারুক                293.908418     
96    করায়                 290.309540     
97    আব্দুর               285.511035     
98    প্রার্থীর            284.311409     
99    ঘটনাস্থল             284.311409     
100   জিয়া                 281.912156     
101   বেসরকারি             280.712530     
102   পৌর                  280.712530     
103   ভোট                  279.623051     
104   শ্রেণির              279.512904     
105   সহায়তা               279.512904     
106   ভাইরাসে              275.914025     
107   যুগ্ম                275.914025     
108   লক্ষ্যে              273.514773     
109   নুরুল                273.514773     
110   বিজয়                 273.514773     
111   নিউজিল্যান্ড         272.315147     
112   মুক্তিযুদ্ধ          272.315147     
113   নির্দেশনা            269.915894     
114   ইয়াবা                269.915894     
115   ভোটা                 268.716268     
116   জিপিএ৫               268.716268     
117   নিহত                 268.083748     
118   ওয়েস্ট               267.516642     
119   মাথায়                263.917763     
120   ওয়ার্ড               263.917763     
121   প্রয়োজনীয়            263.917763     
122   ফখরুল                261.518511     
123   ব্যাটসম্যান          260.318885     
124   বাজেট                260.318885     
125   বঙ্গবন্ধুর           260.318885     
126   কর্মকর্তা            259.113961     
127   ঐক্যফ্রন্ট           257.919632     
128   রাষ্ট্রদূত           257.919632     
129   বিদেশি               256.720006     
130   মায়                  255.903456     
131   বাসায়                255.520380     
132   ডিজিটাল              255.520380     
133   ইংল্যান্ড            254.320754     
134   আওতায়                253.121127     
135   আদায়                 251.921501     
136   বক্তব্যে             251.921501     
137   দুর্ঘটনায়            251.921501     
138   করপোরেশন             250.721875     
139   আনোয়                 249.522249     
140   ইউপি                 248.322623     
141   বয়সী                 248.322623     
142   চূড়ান্ত              248.322623     
143   শুনানি               247.122996     
144   আলমগীর               245.923370     
145   নিয়মিত               242.324492     
146   ভাড়া                 242.324492     
147   সন্ত্রাসী            242.324492     
148   মোটরসাইকেল           241.124865     
149   এলাকাবাসী            241.124865     
150   দুইজন                235.126735     
151   কুমিল্লা             235.126735     
152   সহসভাপতি             233.927108     
153   মহাসড়ক               233.927108     
154   লিটন                 232.727482     
155   নিয়েছেন              230.328230     
156   জায়গা                229.128604     
157   বিজয়ী                227.928977     
158   গণমাধ্যম             227.928977     
159   ইন্ডিজ               227.928977     
160   ভয়াবহ                226.729351     
161   অভিনয়                226.729351     
162   মারধর                225.529725     
163   আয়                   224.330099     
164   গোয়েন্দা             224.330099     
165   জাহাঙ্গীর            224.330099     
166   ময়মনসিংহ             221.930846     
167   দুদক                 220.731220     
168   উভয়                  219.531594     
169   অস্ট্রেলিয়া          219.531594     
170   নির্বাচনে            219.244674     
171   দাঁড়া                217.132342     
172   জনপ্রিয়              215.932715     
173   দাঁড়                 214.733089     
174   ইউনিট                213.533463     
175   তামিম                213.533463     
176   বাড়া                 213.533463     
177   অ্যাডভোকেট           209.934584     
178   মর্গে                209.934584     
179   জেলায়                209.934584     
180   ওয়ানডে               209.934584     
181   ইমরান                208.734958     
182   তালিকায়              207.535332     
183   সাইফুল               207.535332     
184   কমান্ড               207.535332     
185   স্থায়ী               205.136080     
186   লড়া                  205.136080     
187   প্রশিক্ষণ            205.136080     
188   বুধব                 204.092686     
189   ঈদের                 203.936453     
190   খেলোয়াড়              203.936453     
191   চট্টগ্রাম            203.489495     
192   আবহাওয়া              202.736827     
193   মামুন                202.736827     
194   কাউন্সিলর            201.537201     
195   মাহবুব               200.337575     
196   সুমন                 199.137949     
197   বিজিবি               199.137949     
198   ফিরা                 199.137949     
199   রফিকুল               197.938322     
200   বিশ্বকাপে            197.938322     
