Most Changed,delta_cos,neighbor_jaccard,Change Score (High),Most Stable,delta_cos,neighbor_jaccard,Change Score (Low)
সামিল,0.912544809281826,0.0,1.912544809281826,আখ্যান,0.2494789958000183,0.0,1.2494789958000183
পাল্,0.9111488908529282,0.0,1.9111488908529282,তৈরি,0.2755489349365234,0.0101010101010101,1.2654479248355133
কর্মকর্তা,0.909926176071167,0.0,1.909926176071167,পাশে,0.3293266892433166,0.0101010101010101,1.3192256791423065
চেম্ব,0.9048771038651466,0.0,1.9048771038651466,খণ্ডে,0.3224451541900635,0.0,1.3224451541900635
দীর্ঘদিন,0.9017687886953354,0.0,1.9017687886953354,বাংলাতে,0.3235235810279846,0.0,1.3235235810279846
তুফান,0.8978897109627724,0.0,1.8978897109627724,সর্বাগ্রে,0.3314701318740845,0.0,1.3314701318740845
সত্যতা,0.8955485373735428,0.0,1.8955485373735428,চাষআবাদ,0.3318923711776733,0.0,1.3318923711776733
কো,0.887566089630127,0.0,1.887566089630127,অনুশোচনা,0.3370411396026611,0.0,1.3370411396026611
জিরো,0.882561482489109,0.0,1.882561482489109,ভাই,0.3491600155830383,0.0101010101010101,1.3390590054820282
কাহা,0.8825097680091858,0.0,1.8825097680091858,লীনা,0.3415584564208984,0.0,1.3415584564208984
স্তরে,0.8818511739373207,0.0,1.8818511739373207,ভাগ,0.3646817207336426,0.0204081632653061,1.3442735574683364
জোট,0.8798719495534897,0.0,1.8798719495534897,গ্রামে,0.344734251499176,0.0,1.344734251499176
দফা,0.8788712471723557,0.0,1.8788712471723557,ভাঙ,0.3452715277671814,0.0,1.3452715277671814
সংযুক্ত,0.8767782598733902,0.0,1.8767782598733902,লেখিক,0.3496660590171814,0.0,1.3496660590171814
তালিকা,0.8760252669453621,0.0,1.876025266945362,ইন্দোনেশিয়া,0.3533061146736145,0.0,1.3533061146736145
আরোহী,0.8752603754401207,0.0,1.8752603754401207,মান,0.3544528484344482,0.0,1.3544528484344482
লিজ,0.8744446337223053,0.0,1.8744446337223053,ঘরে,0.3659185171127319,0.0101010101010101,1.3558175070117218
মিটে,0.8733034133911133,0.0,1.8733034133911133,রানার্স,0.3560294508934021,0.0,1.356029450893402
চালিত,0.8724539279937744,0.0,1.8724539279937744,ছোট,0.3570689558982849,0.0,1.357068955898285
প্রস্তুতি,0.8676370978355408,0.0,1.8676370978355408,শ্যাল,0.3587544560432434,0.0,1.3587544560432434
